<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBRX.US,5,20240506,153000,9.21,9.4758,9.13,9.42,300378,0
IBRX.US,5,20240506,153500,9.39,9.45,9.21,9.2198,180363,0
IBRX.US,5,20240506,154000,9.215,9.365,9.16,9.25,159501,0
IBRX.US,5,20240506,154500,9.26,9.26,9.03,9.05,214995,0
IBRX.US,5,20240506,155000,9.0598,9.07,8.92,8.98,229192,0
IBRX.US,5,20240506,155500,8.99,9.0599,8.85,8.91,197213,0
IBRX.US,5,20240506,160000,8.92,8.996,8.8897,8.93,76247,0
IBRX.US,5,20240506,160500,8.93,8.975,8.905,8.9299,89481,0
IBRX.US,5,20240506,161000,8.9287,9,8.88,8.97,95404,0
IBRX.US,5,20240506,161500,8.98,8.9988,8.91,8.98,38341,0
IBRX.US,5,20240506,162000,8.9726,8.9873,8.92,8.9873,58684,0
IBRX.US,5,20240506,162500,8.985,9.02,8.94,8.965,48709,0
IBRX.US,5,20240506,163000,8.9688,8.9688,8.67,8.75,291931,0
IBRX.US,5,20240506,163500,8.755,8.7803,8.6,8.7082,278201,0
IBRX.US,5,20240506,164000,8.702,8.71,8.6003,8.6003,225038,0
IBRX.US,5,20240506,164500,8.605,8.6677,8.6,8.62,96572,0
IBRX.US,5,20240506,165000,8.615,8.65,8.55,8.5885,201913,0
IBRX.US,5,20240506,165500,8.588,8.61,8.48,8.502,169625,0
IBRX.US,5,20240506,170000,8.51,8.52,8.41,8.4188,198232,0
IBRX.US,5,20240506,170500,8.41,8.4586,8.25,8.255,312950,0
IBRX.US,5,20240506,171000,8.255,8.275,8.1,8.22,391652,0
IBRX.US,5,20240506,171500,8.2371,8.31,8.2178,8.3001,157070,0
IBRX.US,5,20240506,172000,8.305,8.33,8.28,8.29,105048,0
IBRX.US,5,20240506,172500,8.29,8.34,8.275,8.285,75440,0
IBRX.US,5,20240506,173000,8.29,8.33,8.27,8.2897,77342,0
IBRX.US,5,20240506,173500,8.2869,8.298,8.27,8.275,58949,0
IBRX.US,5,20240506,174000,8.28,8.3385,8.28,8.305,64802,0
IBRX.US,5,20240506,174500,8.31,8.4,8.3,8.3201,198837,0
IBRX.US,5,20240506,175000,8.32,8.3273,8.15,8.1567,230856,0
IBRX.US,5,20240506,175500,8.1534,8.225,8.15,8.215,71326,0
IBRX.US,5,20240506,180000,8.2101,8.2499,8.2,8.2473,32970,0
IBRX.US,5,20240506,180500,8.2488,8.2488,8.1501,8.1501,75636,0
IBRX.US,5,20240506,181000,8.1571,8.16,8.11,8.135,84132,0
IBRX.US,5,20240506,181500,8.14,8.18,8.13,8.14,46990,0
IBRX.US,5,20240506,182000,8.135,8.135,8.03,8.035,181425,0
IBRX.US,5,20240506,182500,8.0399,8.06,8.01,8.0101,142844,0
IBRX.US,5,20240506,183000,8.0153,8.02,7.925,7.955,230354,0
IBRX.US,5,20240506,183500,7.955,8.1,7.9413,8.0301,159230,0
IBRX.US,5,20240506,184000,8.035,8.1,8.01,8.055,62099,0
IBRX.US,5,20240506,184500,8.055,8.1,8.05,8.055,42854,0
IBRX.US,5,20240506,185000,8.055,8.12,8.055,8.1099,53358,0
IBRX.US,5,20240506,185500,8.1099,8.18,8.105,8.15,52159,0
IBRX.US,5,20240506,190000,8.14,8.15,8.0001,8.0097,154034,0
IBRX.US,5,20240506,190500,8,8.03,7.96,8.02,62687,0
IBRX.US,5,20240506,191000,8.02,8.02,7.97,7.97,43768,0
IBRX.US,5,20240506,191500,7.98,8.035,7.975,8.0046,39861,0
IBRX.US,5,20240506,192000,8.0088,8.04,7.984,8.025,47675,0
IBRX.US,5,20240506,192500,8.028,8.035,7.955,8.0062,70715,0
IBRX.US,5,20240506,193000,8.0017,8.0017,7.91,7.9267,130654,0
IBRX.US,5,20240506,193500,7.92,7.93,7.87,7.895,152042,0
IBRX.US,5,20240506,194000,7.89,7.95,7.8701,7.9399,88186,0
IBRX.US,5,20240506,194500,7.9368,7.9801,7.905,7.921,113519,0
IBRX.US,5,20240506,195000,7.93,7.93,7.88,7.895,97761,0
IBRX.US,5,20240506,195500,7.8988,7.945,7.89,7.91,69969,0
IBRX.US,5,20240506,200000,7.905,8.02,7.905,7.995,93137,0
IBRX.US,5,20240506,200500,7.9976,8.0075,7.95,7.995,93572,0
IBRX.US,5,20240506,201000,7.9999,8.045,7.9801,7.985,57663,0
IBRX.US,5,20240506,201500,7.9864,7.99,7.9103,7.915,96596,0
IBRX.US,5,20240506,202000,7.915,7.99,7.91,7.9488,80365,0
IBRX.US,5,20240506,202500,7.945,7.95,7.9301,7.9301,26966,0
IBRX.US,5,20240506,203000,7.9391,7.9391,7.84,7.845,110750,0
IBRX.US,5,20240506,203500,7.84,7.88,7.8,7.8409,134134,0
IBRX.US,5,20240506,204000,7.845,7.92,7.84,7.885,62179,0
IBRX.US,5,20240506,204500,7.885,7.92,7.87,7.9,77099,0
IBRX.US,5,20240506,205000,7.905,7.9139,7.8601,7.9139,58483,0
IBRX.US,5,20240506,205500,7.915,7.94,7.8901,7.925,29245,0
IBRX.US,5,20240506,210000,7.925,7.93,7.84,7.85,96959,0
IBRX.US,5,20240506,210500,7.845,7.865,7.84,7.858,60701,0
IBRX.US,5,20240506,211000,7.8501,7.86,7.83,7.832,78231,0
IBRX.US,5,20240506,211500,7.8301,7.8399,7.8,7.8001,52455,0
IBRX.US,5,20240506,212000,7.805,7.81,7.8,7.805,127878,0
IBRX.US,5,20240506,212500,7.805,7.81,7.76,7.7799,142659,0
IBRX.US,5,20240506,213000,7.775,7.83,7.72,7.75,204155,0
IBRX.US,5,20240506,213500,7.745,7.87,7.745,7.825,142402,0
IBRX.US,5,20240506,214000,7.83,7.835,7.78,7.835,87088,0
IBRX.US,5,20240506,214500,7.8344,7.865,7.82,7.8365,153322,0
IBRX.US,5,20240506,215000,7.83,7.85,7.82,7.825,108420,0
IBRX.US,5,20240506,215500,7.82,7.84,7.8,7.81,624307,0
IBRX.US,5,20240507,153000,8.42,8.53,8.225,8.425,613973,0
IBRX.US,5,20240507,153500,8.4212,8.45,8.08,8.405,503710,0
IBRX.US,5,20240507,154000,8.41,8.7188,8.32,8.5434,432202,0
IBRX.US,5,20240507,154500,8.55,8.58,8.24,8.2898,275409,0
IBRX.US,5,20240507,155000,8.285,8.3722,8.15,8.27,187228,0
IBRX.US,5,20240507,155500,8.275,8.28,8.12,8.165,139401,0
IBRX.US,5,20240507,160000,8.165,8.2588,8.105,8.25,112654,0
IBRX.US,5,20240507,160500,8.26,8.49,8.255,8.365,207645,0
IBRX.US,5,20240507,161000,8.365,8.37,8.155,8.2299,180581,0
IBRX.US,5,20240507,161500,8.215,8.34,8.16,8.34,132472,0
IBRX.US,5,20240507,162000,8.3399,8.5,8.3,8.5,224299,0
IBRX.US,5,20240507,162500,8.5,8.65,8.4495,8.65,381278,0
IBRX.US,5,20240507,163000,8.655,8.685,8.49,8.585,173226,0
IBRX.US,5,20240507,163500,8.58,8.62,8.46,8.55,181091,0
IBRX.US,5,20240507,164000,8.55,8.5812,8.49,8.565,65446,0
IBRX.US,5,20240507,164500,8.5688,8.5688,8.47,8.5288,47280,0
IBRX.US,5,20240507,165000,8.53,8.6099,8.485,8.595,103556,0
IBRX.US,5,20240507,165500,8.595,8.595,8.49,8.565,80949,0
IBRX.US,5,20240507,170000,8.57,8.6,8.4,8.53,168609,0
IBRX.US,5,20240507,170500,8.54,8.58,8.5221,8.5499,42312,0
IBRX.US,5,20240507,171000,8.5482,8.7,8.53,8.6817,175873,0
IBRX.US,5,20240507,171500,8.69,8.7,8.595,8.61,100158,0
IBRX.US,5,20240507,172000,8.6199,8.66,8.58,8.62,62471,0
IBRX.US,5,20240507,172500,8.6199,8.7,8.57,8.7,107876,0
IBRX.US,5,20240507,173000,8.695,8.77,8.6501,8.69,148317,0
IBRX.US,5,20240507,173500,8.6899,8.6999,8.58,8.6,264242,0
IBRX.US,5,20240507,174000,8.5998,8.705,8.5903,8.69,71611,0
IBRX.US,5,20240507,174500,8.6888,8.7,8.55,8.615,107552,0
IBRX.US,5,20240507,175000,8.615,8.6199,8.505,8.535,93222,0
IBRX.US,5,20240507,175500,8.5398,8.625,8.5398,8.625,43623,0
IBRX.US,5,20240507,180000,8.64,8.69,8.58,8.62,96839,0
IBRX.US,5,20240507,180500,8.63,8.68,8.63,8.6301,35340,0
IBRX.US,5,20240507,181000,8.635,8.67,8.59,8.6001,32145,0
IBRX.US,5,20240507,181500,8.6012,8.64,8.515,8.6199,140837,0
IBRX.US,5,20240507,182000,8.61,8.62,8.55,8.57,105282,0
IBRX.US,5,20240507,182500,8.5701,8.58,8.48,8.5199,70452,0
IBRX.US,5,20240507,183000,8.51,8.52,8.46,8.515,73704,0
IBRX.US,5,20240507,183500,8.515,8.55,8.41,8.49,120810,0
IBRX.US,5,20240507,184000,8.5,8.54,8.485,8.501,89744,0
IBRX.US,5,20240507,184500,8.5099,8.525,8.42,8.49,124811,0
IBRX.US,5,20240507,185000,8.495,8.62,8.4934,8.615,68819,0
IBRX.US,5,20240507,185500,8.62,8.63,8.54,8.61,37114,0
IBRX.US,5,20240507,190000,8.6012,8.67,8.54,8.6,69618,0
IBRX.US,5,20240507,190500,8.589,8.589,8.53,8.53,22658,0
IBRX.US,5,20240507,191000,8.53,8.58,8.4701,8.505,71308,0
IBRX.US,5,20240507,191500,8.5,8.55,8.49,8.545,30967,0
IBRX.US,5,20240507,192000,8.5401,8.5499,8.4901,8.5,40313,0
IBRX.US,5,20240507,192500,8.495,8.545,8.475,8.54,18248,0
IBRX.US,5,20240507,193000,8.54,8.56,8.52,8.545,25919,0
IBRX.US,5,20240507,193500,8.544,8.62,8.544,8.6119,56673,0
IBRX.US,5,20240507,194000,8.62,8.65,8.57,8.59,67017,0
IBRX.US,5,20240507,194500,8.59,8.61,8.5425,8.572,26051,0
IBRX.US,5,20240507,195000,8.57,8.595,8.545,8.56,13028,0
IBRX.US,5,20240507,195500,8.568,8.57,8.4901,8.5,71491,0
IBRX.US,5,20240507,200000,8.4959,8.51,8.49,8.495,65344,0
IBRX.US,5,20240507,200500,8.491,8.5,8.43,8.48,38880,0
IBRX.US,5,20240507,201000,8.49,8.5,8.4602,8.467,23741,0
IBRX.US,5,20240507,201500,8.465,8.465,8.365,8.3789,37758,0
IBRX.US,5,20240507,202000,8.375,8.42,8.3524,8.3713,47703,0
IBRX.US,5,20240507,202500,8.37,8.395,8.36,8.38,31030,0
IBRX.US,5,20240507,203000,8.3799,8.4,8.37,8.375,27482,0
IBRX.US,5,20240507,203500,8.3775,8.38,8.325,8.325,26163,0
IBRX.US,5,20240507,204000,8.3201,8.42,8.3,8.4,87655,0
IBRX.US,5,20240507,204500,8.3901,8.4398,8.38,8.425,20640,0
IBRX.US,5,20240507,205000,8.429,8.429,8.33,8.335,37577,0
IBRX.US,5,20240507,205500,8.335,8.38,8.335,8.375,23396,0
IBRX.US,5,20240507,210000,8.3775,8.42,8.36,8.395,50804,0
IBRX.US,5,20240507,210500,8.3901,8.41,8.385,8.3935,19896,0
IBRX.US,5,20240507,211000,8.39,8.39,8.35,8.3512,23083,0
IBRX.US,5,20240507,211500,8.355,8.37,8.33,8.355,40440,0
IBRX.US,5,20240507,212000,8.355,8.37,8.32,8.321,48632,0
IBRX.US,5,20240507,212500,8.3299,8.33,8.29,8.295,44936,0
IBRX.US,5,20240507,213000,8.3,8.34,8.2801,8.315,61230,0
IBRX.US,5,20240507,213500,8.32,8.34,8.28,8.285,80471,0
IBRX.US,5,20240507,214000,8.29,8.3388,8.27,8.32,173711,0
IBRX.US,5,20240507,214500,8.315,8.32,8.25,8.255,108196,0
IBRX.US,5,20240507,215000,8.255,8.27,8.25,8.255,90859,0
IBRX.US,5,20240507,215500,8.2575,8.26,8.23,8.26,214740,0
IBRX.US,5,20240508,153000,8.02,8.14,7.97,7.985,172815,0
IBRX.US,5,20240508,153500,7.97,8,7.85,7.8818,248825,0
IBRX.US,5,20240508,154000,7.8897,7.9699,7.845,7.88,144245,0
IBRX.US,5,20240508,154500,7.89,8,7.87,7.9174,89282,0
IBRX.US,5,20240508,155000,7.9,7.9198,7.845,7.905,70445,0
IBRX.US,5,20240508,155500,7.9,7.905,7.82,7.8279,88279,0
IBRX.US,5,20240508,160000,7.8217,7.895,7.82,7.86,52534,0
IBRX.US,5,20240508,160500,7.869,7.895,7.84,7.84,34508,0
IBRX.US,5,20240508,161000,7.8499,7.89,7.83,7.86,66965,0
IBRX.US,5,20240508,161500,7.865,7.895,7.8485,7.89,73073,0
IBRX.US,5,20240508,162000,7.895,7.895,7.81,7.82,64182,0
IBRX.US,5,20240508,162500,7.82,7.86,7.77,7.84,100588,0
IBRX.US,5,20240508,163000,7.85,7.86,7.8101,7.85,38322,0
IBRX.US,5,20240508,163500,7.855,7.91,7.83,7.895,44295,0
IBRX.US,5,20240508,164000,7.8971,7.92,7.88,7.8998,24090,0
IBRX.US,5,20240508,164500,7.898,7.9901,7.89,7.96,50531,0
IBRX.US,5,20240508,165000,7.96,7.9799,7.91,7.9213,23198,0
IBRX.US,5,20240508,165500,7.92,8.005,7.92,7.978,53971,0
IBRX.US,5,20240508,170000,7.9788,8.1,7.96,8.08,45587,0
IBRX.US,5,20240508,170500,8.085,8.09,7.98,7.99,46458,0
IBRX.US,5,20240508,171000,7.99,7.99,7.9,7.9312,22769,0
IBRX.US,5,20240508,171500,7.93,7.95,7.9001,7.905,37597,0
IBRX.US,5,20240508,172000,7.91,7.9399,7.89,7.915,45460,0
IBRX.US,5,20240508,172500,7.91,7.91,7.89,7.9,37589,0
IBRX.US,5,20240508,173000,7.9099,7.95,7.85,7.89,79828,0
IBRX.US,5,20240508,173500,7.9,7.99,7.9,7.9501,61064,0
IBRX.US,5,20240508,174000,7.96,8,7.92,7.93,44087,0
IBRX.US,5,20240508,174500,7.92,7.995,7.91,7.96,27509,0
IBRX.US,5,20240508,175000,7.97,7.99,7.91,7.93,56094,0
IBRX.US,5,20240508,175500,7.9297,7.935,7.9019,7.91,14833,0
IBRX.US,5,20240508,180000,7.91,7.945,7.905,7.94,25307,0
IBRX.US,5,20240508,180500,7.935,7.9499,7.89,7.905,53925,0
IBRX.US,5,20240508,181000,7.9001,7.905,7.87,7.895,20988,0
IBRX.US,5,20240508,181500,7.89,7.9,7.87,7.88,38679,0
IBRX.US,5,20240508,182000,7.88,7.92,7.87,7.91,19135,0
IBRX.US,5,20240508,182500,7.905,7.905,7.84,7.8499,34599,0
IBRX.US,5,20240508,183000,7.84,7.88,7.84,7.865,25488,0
IBRX.US,5,20240508,183500,7.86,7.86,7.84,7.85,13072,0
IBRX.US,5,20240508,184000,7.855,7.88,7.85,7.87,23779,0
IBRX.US,5,20240508,184500,7.8678,7.875,7.86,7.86,11184,0
IBRX.US,5,20240508,185000,7.8601,7.865,7.825,7.845,28953,0
IBRX.US,5,20240508,185500,7.8499,7.86,7.82,7.855,42460,0
IBRX.US,5,20240508,190000,7.85,7.85,7.81,7.815,24268,0
IBRX.US,5,20240508,190500,7.81,7.845,7.81,7.81,51986,0
IBRX.US,5,20240508,191000,7.81,7.8188,7.79,7.79,59409,0
IBRX.US,5,20240508,191500,7.795,7.805,7.79,7.79,26198,0
IBRX.US,5,20240508,192000,7.79,7.795,7.77,7.775,53379,0
IBRX.US,5,20240508,192500,7.775,7.79,7.77,7.77,24965,0
IBRX.US,5,20240508,193000,7.77,7.8188,7.77,7.8,40978,0
IBRX.US,5,20240508,193500,7.795,7.83,7.79,7.8,46176,0
IBRX.US,5,20240508,194000,7.805,7.81,7.785,7.79,28303,0
IBRX.US,5,20240508,194500,7.795,7.83,7.79,7.79,38131,0
IBRX.US,5,20240508,195000,7.796,7.82,7.79,7.815,25230,0
IBRX.US,5,20240508,195500,7.815,7.815,7.76,7.765,65204,0
IBRX.US,5,20240508,200000,7.76,7.77,7.73,7.76,91283,0
IBRX.US,5,20240508,200500,7.7564,7.765,7.73,7.745,23488,0
IBRX.US,5,20240508,201000,7.745,7.8,7.74,7.795,56580,0
IBRX.US,5,20240508,201500,7.795,7.795,7.78,7.7883,8866,0
IBRX.US,5,20240508,202000,7.78,7.7899,7.76,7.76,23683,0
IBRX.US,5,20240508,202500,7.76,7.785,7.74,7.74,22262,0
IBRX.US,5,20240508,203000,7.74,7.82,7.74,7.795,52132,0
IBRX.US,5,20240508,203500,7.795,7.795,7.7492,7.7538,36408,0
IBRX.US,5,20240508,204000,7.7505,7.7588,7.73,7.74,30729,0
IBRX.US,5,20240508,204500,7.735,7.745,7.72,7.73,39182,0
IBRX.US,5,20240508,205000,7.73,7.76,7.73,7.735,51116,0
IBRX.US,5,20240508,205500,7.73,7.75,7.71,7.735,41224,0
IBRX.US,5,20240508,210000,7.73,7.745,7.72,7.72,22974,0
IBRX.US,5,20240508,210500,7.72,7.74,7.68,7.68,77505,0
IBRX.US,5,20240508,211000,7.68,7.7299,7.675,7.685,58528,0
IBRX.US,5,20240508,211500,7.689,7.75,7.685,7.74,36173,0
IBRX.US,5,20240508,212000,7.74,7.81,7.74,7.8001,38053,0
